CODE_PEITSCH,CLUSTER,HYDROPHOBIC_SCORE,SIZE,SSR,COUNT,NORM_DOMAIN,NORM_SEGMENT
5,101,2,3,e,7065,1.2108,1.2556
7,111,6,3,E,5093,1.2596,1.2969
9,1001,2,4,h,4243,1.1762,1.2328
13,1101,4,4,e,3160,1.3922,1.4632
11,1011,4,4,E,3124,1.2653,1.3208
17,10001,2,5,h,2341,1.2617,1.3201
19,10011,4,5,H,2310,1.3052,1.3159
25,11001,4,5,H,2175,1.2195,1.3105
15,1111,10,4,E,2135,1.2773,1.291
21,10101,3,5,E,1937,1.3534,1.3515
27,11011,6,5,h,1449,1.397,1.4108
23,10111,7,5,E,1308,1.4007,1.3329
29,11101,7,5,E,1244,1.4685,1.3914
41,101001,3,6,e,1030,1.4527,1.57
37,100101,3,6,e,1024,1.4644,1.5053
49,110001,4,6,h,971,1.4067,1.4279
35,100011,4,6,h,930,1.452,1.4637
51,110011,6,6,H,847,1.5232,1.4248
39,100111,7,6,e,778,1.42,1.4855
43,101011,5,6,E,767,1.5744,1.552
53,110101,5,6,E,733,1.5955,1.5544
45,101101,5,6,E,727,1.6092,1.6696
57,111001,7,6,e,727,1.322,1.408
73,1001001,3,7,h,629,1.5423,1.563
69,1000101,3,7,e,565,1.6745,1.6216
153,10011001,5,8,H,564,1.4893,1.5047
31,11111,15,5,E,548,1.5058,1.4904
81,1010001,3,7,e,513,1.7496,1.6936
77,1001101,5,7,h,493,1.7157,1.7625
145,10010001,3,8,H,476,1.7808,1.7751
89,1011001,5,7,e,443,1.6185,1.5684
137,10001001,3,8,H,442,1.6345,1.5471
101,1100101,5,7,e,436,1.7135,1.6125
147,10010011,5,8,H,423,2.6082,2.7494
83,1010011,5,7,e,418,1.6445,1.5862
59,111011,9,6,e,414,1.7861,1.8427
47,101111,11,6,E,405,1.7466,1.7721
105,1101001,5,7,E,395,1.6901,1.7246
85,1010101,4,7,E,386,1.6503,1.7036
55,110111,9,6,e,385,1.7203,1.7475
61,111101,11,6,E,383,1.8136,1.718
75,1001011,5,7,E,341,1.6978,1.7345
201,11001001,5,8,H,338,1.6935,1.7825
113,1110001,7,7,E,333,1.8882,1.9227
99,1100011,6,7,e,315,1.6864,1.6844
71,1000111,7,7,e,292,1.7036,1.9205
139,10001011,5,8,h,282,1.8561,1.8142
155,10011011,7,8,H,271,1.9264,1.9706
